ID,I_STATE,RR,AA,FFF,NNNNNNNNNN,DD,MM,YYYY,UPSZN_DATE,DATE_UPSZN,TR_DATE,RECEIPT_CREATE_FLAG,C_REQUESTFILE,C_RESPONSEFILE,I_MODE,STATE,STATEDESCRIPTION,MSGID,STATUS,STATUSDESCRIPTION,SUM_TOTAL,SUM_GRANTED,SUM_DENIED,COUNT_TOTAL,COUNT_GRANTED,COUNT_DENIED,REPORT_DATE,COPY_DATE,SERVICE, 
914,70,12,34,000,0004,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO12340000004012019,RU12340000004012019,finish,1,,3a6c5640-355a-4882-baed-d6eb22f084f1,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
926,41,13,27,000,0001,01,01,2019,30.01.2019,30.01.2019,,1,RO13270000001012019,RO13270000001012019,push,-1,,,ECCFailed,IOC-001:Помилка XSD-схеми,0,0,0,,,,01.01.2019,,recipient, 
933,70,61,09,000,0005,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO61090000005012019,RU61090000005012019,finish,1,,ba5845b8-b59f-46c1-9fcc-a1a946d77cd8,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
946,41,51,19,000,0002,01,01,2019,30.01.2019,30.01.2019,,1,RO51190000002012019,RO51190000002012019,push,-1,,,ECCFailed,IOC-002:Помилка 1 підпису(валідність),0,0,0,,,,01.01.2019,,recipient, 
957,70,12,30,002,0004,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO12300020004012019,RU12300020004012019,finish,1,,b0dfeb55-4016-4e61-9e0d-cc877368e6a1,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
980,70,13,30,000,0011,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO13300000011012019,RU13300000011012019,finish,1,,4825c354-82df-4b63-99d7-e644056d39e2,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
987,70,68,01,000,0009,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO68010000009012019,RU68010000009012019,finish,1,,4f384589-43f7-44fa-a60f-386c6b5c11a2,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
988,70,68,13,000,0005,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO68130000005012019,RU68130000005012019,finish,1,,470bba59-63f5-4f54-a971-cd826b148c65,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
991,70,07,62,000,0006,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RD07620000006012019,RT07620000006012019,finish,1,,ddf13048-498e-47f8-ba66-76e254c611a5,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
717,70,35,11,000,0009,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO35110000009012019,RU35110000009012019,finish,1,,8ee628ea-ebc2-4704-a941-2fb360f06753,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
725,70,14,23,000,0008,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RD14230000008012019,RT14230000008012019,finish,1,,b37b4161-569a-4dbc-b04d-71bc3cc5663d,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
731,70,14,60,000,0002,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO14600000002012019,RU14600000002012019,finish,1,,10a039f5-c77c-4921-b7e9-2b1622d5174e,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
739,70,61,02,000,0002,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO61020000002012019,RU61020000002012019,finish,1,,54ac1c15-1bf0-4d4e-b2c5-0f5e1717a64a,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
753,70,14,23,000,0008,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RD14230000008012019,RT14230000008012019,finish,1,,b37b4161-569a-4dbc-b04d-71bc3cc5663d,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
760,70,13,18,000,0006,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO13180000006012019,RU13180000006012019,finish,1,,059b5211-ddf5-4dc2-a6c0-c2602ef37dac,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
768,70,26,16,000,0002,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO26160000002012019,RU26160000002012019,finish,1,,38dcc963-6ace-441d-a6bc-63a568cba383,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
785,70,05,05,001,0003,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO05050010003012019,RU05050010003012019,finish,1,,c71f5368-8e49-4f57-ac90-d02204ba0b67,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
792,70,26,16,000,0004,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO26160000004012019,RU26160000004012019,finish,1,,ae7339ad-8e1c-43cf-886f-43f9da553106,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
799,41,61,07,001,0002,01,01,2019,29.01.2019,29.01.2019,,1,RO61070010002012019,RO61070010002012019,push,-1,,,ECCFailed,IOC-009:Відсутність підпису фізичної особи,0,0,0,,,,,,recipient, 
805,70,71,21,000,0003,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RD71210000003012019,RT71210000003012019,finish,1,,8e70dc0c-8001-4fa7-9b80-6e201803aa68,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
812,70,07,47,000,0001,01,01,2019,29.01.2019,30.01.2019,30.01.2019,1,RO07470000001012019,RU07470000001012019,finish,1,,e069354d-ec68-4c20-a131-65e6636187db,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
820,70,12,34,000,0003,01,01,2019,29.01.2019,30.01.2019,30.01.2019,1,RO12340000003012019,RU12340000003012019,finish,1,,b4816736-ca8a-4072-8879-8bbf16ce2bf5,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
828,70,16,21,000,0003,01,01,2019,29.01.2019,30.01.2019,30.01.2019,1,RO16210000003012019,RU16210000003012019,finish,1,,c14b5566-77d5-4d7e-ba76-f8ea050fcba9,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
836,70,61,09,000,0003,01,01,2019,29.01.2019,30.01.2019,30.01.2019,1,RO61090000003012019,RU61090000003012019,finish,1,,97745da5-daab-4e32-8f00-188e31d8bfa9,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
