I_REGION,ID,C_NAME,LATITUDE,LONGITUDE
7,759,ТУРІЙСЬКИЙ Р-Н ВОЛИНСЬКА ОБЛ.,51.08215,24.52843
7,760,МАНЕВИЦЬКИЙ Р-Н ВОЛИНСЬКА ОБЛ.,51.2884,25.52181
7,761,ЛОКАЧИНСЬКИЙ Р-Н ВОЛИНСЬКА ОБЛ.,50.73814,24.64857
7,762,ЛУЦЬКИЙ Р-Н ВОЛИНСЬКА ОБЛ.,50.75833,25.30699
7,763,ІВАНИЧІВСЬКИЙ Р-Н ВОЛИНСЬКА ОБЛ,50.63698,24.36186
7,764,М.ЛУЦЬК ВОЛИНСЬКА ОБЛ.,50.7469,25.32628
9,901,ЛЕНІНСЬКИЙ Р-Н М.ЛУГАНСЬК,48.55259,39.29512
9,902,АРТЕМІВСЬКИЙ Р-Н М.ЛУГАНСЬК,48.60998,39.36984
9,903,КАМ'ЯНОБРОДСЬКИЙ Р-Н  М.ЛУГАНСЬК,48.56724,39.29084
9,904,ЖОВТНЕВИЙ Р-Н М.ЛУГАНСЬК,48.57796,39.33398
9,905,СТАНИЧНО-ЛУГАНСЬКИЙ Р-Н ЛУГ.ОБЛ.,49.02621,39.4831
9,906,СЛОВ'ЯНОСЕРБСЬКИЙ Р-Н ЛУГАН.ОБЛ.,48.6946,38.98236
9,907,ЛУТУГИНСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,48.40294,39.21457
9,908,М.АНТРАЦИТ ЛУГАНСЬКА ОБЛ.,48.11708,39.08661
9,909,АНТРАЦИТІВСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,48.12167,38.91439
9,910,М.РОВЕНЬКИ ЛУГАНСЬКА ОБЛ.,48.08383,39.3585
9,911,М.КІРОВСЬК ЛУГАНСЬКА ОБЛ.,48.63768,38.63289
9,912,М.БРЯНКА ЛУГАНСЬКА ОБЛ.,48.5002,38.65512
9,913,М.АЛЧЕВСЬК ЛУГАНСЬКА ОБЛ.,48.48769,38.78057
